Sentence,Sentiment,TestRandomSentiment,TestVaderSentiment,TestKerasSentiment
ok ive get bit bad back lift drum car,-1,-1,-1,-1
lmao smh one threw,0,0,1,-1
oh nice go,1,0,1,1
get ready work work weekend,0,1,1,0
gon na celebrate mother day family gon na start party tonite,1,0,1,1
agree,1,-1,1,0
computer everything else,-1,0,-1,0
degree gross sky match mood lol,1,-1,-1,0
aww thanks,1,-1,1,1
sorry rb p,-1,1,-1,-1
saw amaze big,0,-1,1,1
stuck finger throat bunch bump tongue throat,-1,-1,-1,-1
dang last url go,-1,1,0,-1
miss ur tweet im gon na stay awake night see time difference,-1,-1,-1,-1
damnit suck one one thought id drag back lol,-1,0,-1,-1
bos shes move nyc,0,-1,0,0
sooo crazy fever,-1,1,-1,-1
spending saturday morning take note research essay stupid book im use fair,-1,1,-1,-1
think need new friend,0,-1,1,0
look forward gig see ya,0,-1,0,1
please review ad placement,1,-1,1,1
aww,1,-1,0,0
hungry twitter want food,0,-1,1,-1
awesome lucky,1,1,1,1
yea know tell everything p send direct message tell haha,0,-1,1,0
haha im love one,1,0,1,1
great time beer garden wit think sun get bit though feel bit ill,0,0,1,0
day matt fun weekend,-1,-1,1,1
u really dont think maybe ur btw phone u use think u told might app u,0,1,0,0
feel pain mine way,-1,1,-1,-1
come home two day,0,-1,0,0
sadly didnt come one,-1,1,-1,-1
cant wait see boy tomorrow,1,0,0,0
check dentist app next week though get,0,1,0,0
aww miss drive,-1,1,-1,-1
omg wango tango awsome love baby take,1,0,1,1
version live ticket launch cool,1,0,1,1
_ really wish could go,1,0,1,1
yeah real hard know youll get smile,0,-1,1,0
im december thats good next big birthday fly sure,-1,-1,1,1
make night way funny,1,1,1,1
woo cavs happy mother day,1,0,1,1
make face get home mom watch soap,0,-1,0,0
go work,0,0,0,0
cant believe go get without,0,-1,0,0
today,0,-1,0,0
thanks warm welcome didnt make plan arrival time air,1,0,1,1
day counting,0,0,0,0
sorry friend im deadline right family visit boot,-1,1,1,-1
discover use twitpic doesnt pic url character limit,0,0,0,0
sunburn,-1,0,0,-1
purple nail isnt,0,0,0,0
put camera pit longer door without caught,0,0,0,0
lay alone since soo comfy play pen thought ill first dont one cuddle,-1,-1,-1,-1
hate dentist,-1,1,-1,-1
nothing aim join,-1,0,-1,1
im take twitter break cell die,-1,-1,-1,-1
write english original write listen little respect,0,1,1,0
need follower,0,1,0,0
wish could get nail do stupid job,-1,-1,-1,-1
little sadly pass away today ok he still around happy ghost form aww,0,-1,1,0
pant idea could new attempt attract business back,0,0,1,0
good one,1,0,1,1
yep popular miss india talented film actress lot,1,0,1,-1
dosent want go work tomorrow,-1,1,1,-1
daniel voice great,1,-1,1,1
wish birthday would come australia think say theyre think tho,0,1,1,0
hop go red weekend,0,-1,0,0
u mean jack wow u ever go house hehe mean ur lucky address,1,0,1,0
sure hope afternoon,1,1,1,1
mean famous congrats,1,0,1,1
phone pass away yesterday table search new phone,-1,0,0,-1
fantastic friend include several one met thanks life amaze people,1,0,1,1
wish cool sock draw,1,1,1,1
rice bread chili,0,-1,0,0
like mind even dear,0,1,1,0
come save pack please,0,1,1,0
yes love tea make english,1,1,1,1
mouth sure,1,1,1,0
finally hour history pm go make homework friend,0,0,1,0
pancake lemon sugar thanks,1,-1,1,1
si guess dont entertain,-1,0,-1,-1
im right heel kill hardly walk,-1,-1,-1,0
key stop work cant get car much technology,-1,0,-1,-1
yay three follower good know one person big wide world like,1,-1,1,1
name tony hey poor tony,-1,0,-1,-1
goodmorning,1,0,0,1
take shift tomorrow dont really feel like work right,-1,0,-1,-1
love mine happy day mom john taylor much love,1,1,1,1
saw black garden go back picture go,0,0,0,0
bought rug dog best,1,1,1,1
anymore,-1,-1,0,0
love mum much happy mother day wonderful mother,1,0,1,1
slip caught flu feel like poop,-1,0,0,-1
urge play wow wait week til im dad day til mcfly im excite l,1,1,1,1
ok one alive theyre dead dont know til end cry,-1,-1,-1,-1
discover share g reader didnt even know sigh im g reader,0,-1,1,0
chill tonite write funny seem like style,0,1,1,1
u please pray lord know need,0,0,1,0
want live usa,0,-1,1,0
morning tweeple,1,0,0,0
hey didnt get,0,1,0,0
hour sleep rest need,1,0,0,0
make day much well rough one mention love new photo,0,0,1,1
dont want sit home prom night someone hang,-1,0,-1,0
head home foot surgery wish boyfriend come cuddle,1,1,1,-1
concert tonight come tomorrow,0,1,0,0
happen thought come back today,0,-1,0,0
lol dammit well next time,-1,1,1,-1
lol dont ever forget,1,0,1,0
still jealous,-1,1,-1,-1
forever couldnt,-1,0,0,-1
im sad im give didnt nothing,-1,0,-1,-1
week mine easy finally,-1,0,1,1
wow beautiful picture want let know bella,1,1,1,1
draw check degree look good,1,-1,1,-1
people,0,0,0,0
go home im usually mr positive one well min tomorrow,0,0,1,0
always lee let go paris,0,-1,0,1
know want come keep company whilst mum friend night nice even,1,0,1,1
cooking dad lot fun kitchen together,1,0,1,1
rush make feel,-1,0,0,-1
morning hopefully see north u north devon title lovely day,1,-1,1,1
play without fave,-1,0,0,1
youre miss bb im nut think like every kind available,1,0,1,-1
thats weird oh draw,-1,0,-1,-1
woke mum sing new cd replacement bought im good daughter,1,1,1,1
bird oh man thats cool didnt sleep yet night,-1,0,1,0
mile go thats ok u radio help,1,-1,1,0
street iv skill lack cant beat easy,-1,1,-1,-1
cool people like,1,1,1,1
good morning work sunday night baseball hopefully wont get rain,1,0,1,1
think good life either honey moon,0,1,1,1
son get bug first time little finger slightly swollen,-1,1,0,-1
hour ago come realise go buy something online,0,1,0,0
oh lil exchange lj regard twitter,0,-1,0,0
dj drunk car lmao dont act like u dont know,-1,1,1,-1
kiss foot people kick anything want morning everyone hope best day ever,1,-1,1,1
here brief preview omg james creepy role im scar,-1,0,0,-1
im miss crab leg attend go away instead,-1,-1,-1,-1
mean,-1,1,0,0
ready take trip jersey dad good need new see please say prayer dad,-1,-1,1,-1
back soon need run shop cut grass,0,-1,-1,0
im plan bedroom today random,0,0,0,0
home tomorrow run spin time laundry shopping visit family miss nathan,-1,-1,-1,-1
thats another,0,0,0,0
u go stuck office without window,-1,1,-1,-1
sad make proud,-1,-1,0,-1
sorry well try keep,-1,-1,1,-1
home alone hw,0,0,-1,-1
accord quarter family six live,-1,1,-1,-1
plan spend money go well,-1,0,1,-1
upload picture facebook,0,-1,-1,0
congratulation guy finish month early booo,1,-1,1,1
actually wish back miss,-1,-1,1,-1
woke wan na stay bed,0,0,0,0
bday june wack see bday party someone well asap,-1,-1,1,0
would great vip act id enjoy see noooo,0,0,1,1
_marie wish could make hate commute sometimes,0,1,-1,0
workin long day today hopefully make good tip,1,-1,1,1
go quick wasnt chance lol,-1,1,-1,0
hate headache maybe im ready rock,-1,-1,-1,-1
thanks support,1,1,1,1
there really android twitter app tweeties,0,-1,0,0
good day drive mountain visit katie eat chip stock lovely smell soap,1,1,1,1
mother day mom,1,1,0,0
yeah im gon na take ur picture ipod baby,0,-1,1,0
moment dog baby bunny brother get bb gun,-1,1,-1,-1
lol way,0,-1,1,0
forget people fail convert people,-1,0,-1,-1
um glad enjoy,1,-1,1,1
dinner even play card already packed ready head home tomorrow go home,0,-1,1,0
im allergic cat tonsil get swollen hurt,-1,0,-1,-1
say feel mama night he lonely get tomorrow tough,-1,-1,-1,-1
miss alot one day,-1,0,-1,-1
sound like great night im glad successful,1,-1,1,1
thanks share,1,1,1,1
say instead fml hope find soon,1,1,1,-1
garden go well almost onion yet though,1,-1,1,0
nah he hot bore,0,-1,-1,-1
ahhh im clean fresh even though im wear dirty clothes love two half men amaze,1,0,1,1
yes read many time,0,1,1,0
cuz play grown twitter,0,-1,1,0
living,-1,1,-1,0
nope tell want cream,0,-1,-1,0
awwww gon na miss,-1,-1,-1,-1
quite like relax place nice coffee shop fresh air many,1,1,1,1
haha new fact couldnt cost part kind,0,-1,1,0
today lovely day fun even,1,1,1,1
rd believe area sorry answer like year later,-1,1,1,-1
sigh sister bein strange come way london phone turn wan na see dammit,-1,-1,-1,-1
amaze,1,0,1,1
try figure aint connect need google go home computer dont start work soon smh,0,-1,-1,0
im sick sad miss lounge tonight,-1,0,-1,-1
seem really quiet jealous clearly excite life bed think,0,-1,1,0
really wish spare cash buy new punch wii,-1,0,1,-1
aw go toronto anymore,-1,0,0,-1
sorry hear mom really suck,-1,-1,-1,-1
feel hope smooth flight safe mucho boston,1,0,1,1
cant im watch im afraid take,-1,1,0,-1
im get family ready graduation gon na make sad,-1,-1,-1,-1
sweet dream,1,-1,1,1
hay wats ur aim chat,0,1,0,-1
okay might tour summer long make happen,0,0,1,0
pain big toe get anyone suggestion heal,-1,0,-1,-1
time watch dead like sleep,0,1,-1,-1
dinner grandma since couldnt mum,0,-1,0,0
haha thanks history america lol,1,1,1,1
yea wassup,0,0,0,0
stupid job idk,-1,1,-1,-1
shop til bac sunshine miss u,-1,0,1,-1
like pic lucky girl,1,0,1,1
thank ive anxiety issue year think make first couple day fine,0,1,1,0
around hour left day weekend much work,0,0,0,0
feel love mom get cool pix birthday,1,-1,1,1
attempt somehow extend inner class would close cant find atm,0,0,1,0
yes join u require cupcake,0,0,1,0
hard time talk new people pretty sure didnt make good impression,-1,1,1,-1
haha yup still terrible headache super swollen eye dont think im go,-1,-1,1,-1
cant access site,0,0,0,-1
sun last,1,-1,0,0
train ever stop everywhere miss quick train minute,-1,0,-1,-1
cd either whole bunch zero one free,0,0,1,0
graduation day feel like failure,0,-1,-1,-1
lol wasnt suppose get twitter,0,-1,1,0
dont think ive ever sleep tomorrow,-1,-1,0,0
u go today girl,0,1,0,0
doesnt want anymore,-1,1,-1,-1
bad hair day,-1,-1,-1,-1
headache,-1,0,0,-1
sorry guy didnt sign sorry every,-1,1,-1,-1
like rest world hate monday,0,1,-1,-1
mozart,0,-1,0,0
think bit love wit physically attract although great style,0,1,1,0
hey thanks another great day im go sleep ill chat tomorrow sweet dream,1,-1,1,1
bet cool huh havent stop sweat since noon dad pack,-1,0,1,-1
piss usual hahah bake cooky,0,0,-1,-1
need feel well asap p miss do uni soon arent,0,-1,1,0
cool mother awesome hair style wish happy mother day,1,0,1,1
happy mother day mother,1,0,1,1
watch,0,1,0,0
stupid weather ruin day,-1,0,-1,-1
didnt want tell think body,-1,0,-1,0
nice beta still news online,0,0,1,0
thats pretty bad quality probably bad pic u post till date,-1,-1,-1,-1
miss call,-1,1,-1,-1
unfortunately u look like funny people twitter move fb start,-1,0,1,-1
come back karaoke eat dinner sooooo much fun,1,0,1,1
bad thing ive learn say child would say master year ago,1,1,-1,-1
sure fabulous part though sorry dear,0,1,1,0
see sec clip new moon trailer check big tease though,-1,0,-1,1
get back work im feel pretty good work,1,0,1,1
ahhh blend didnt save,0,1,-1,0
matter bet would great love right go,1,0,1,1
dh finish make giant candy bar thank heaven work mate treat tomorrow,1,-1,1,1
ear pop,0,-1,0,0
work traffic sure isnt help mother f always real bad day help plan stuff,-1,0,-1,-1
submit day saw answer back oh well,-1,-1,1,0
catch week lose grey house quiet,0,-1,-1,0
love make smile,1,1,1,1
kinda sick n tire b guy dish,-1,0,-1,-1
boo hop fake alien story cover photo,-1,-1,-1,0
hey,0,0,0,0
miss,-1,1,-1,-1
great buy lunch get pay cut next month,1,1,1,1
finally go beach,1,-1,0,0
ever mention nice awesome dude,1,1,1,1
last nothing school start next week,0,1,0,0
hello gorgeous girl nice new pic today,1,0,1,1
ok lol,1,-1,1,0
ok turn twitter device update get new battery phone go fully charge dead hour,0,-1,-1,-1
michelle hot mama,0,1,0,0
either way always tend make followfriday list sweetie rock much,1,-1,1,1
one know like boil peanut,0,-1,1,0
watch th episode love first episode use theory,1,1,1,1
im sleepy feel weather ugh tonsil need company somebody talk,-1,1,-1,-1
please get cell phone well camera picture real bad quality compare miley take,0,0,0,0
try carry aswell bless suppose maybe thats kid shouldnt,1,0,1,1
weekend long time good fun though,1,0,1,1
counting hour lose sunshine weekend,-1,-1,1,-1
planning try call doctor though isnt go well mostly planning,-1,0,-1,0
im hooked already,0,-1,0,0
ok good day,1,-1,1,1
agree everybody wouldve excite go ohhhh nooooo m screw,0,0,1,-1
edge left list month issue x ffs,0,0,-1,0
ooo yummy time come soon huh oh yeah hunt combo tshirt think find one,0,-1,1,1
im back,-1,-1,0,0
anyone bore work,-1,-1,-1,-1
hat life moment there many no little mind take,-1,-1,-1,-1
check start new limited edition different way check facebook group,0,0,-1,0
husband girl,0,0,0,0
think vega good idea place see,0,-1,1,1
first day summer suck overcast cold isnt summer,-1,0,-1,-1
hi one artist another artist,0,0,0,0
say happy mother day mom,1,1,1,1
ok havent accepted friend request,0,-1,-1,0
sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never go urgh fair,-1,-1,1,-1
thanks follow good cause,1,1,1,1
available area would,-1,-1,0,-1
friday hour im tomorrow oh well,0,0,1,0
meeting time iï½m try win something prize friday,0,1,1,-1
wait cramp,-1,1,-1,-1
final today thank day,1,0,1,1
plan didnt go follow ok,0,-1,-1,0
let guess skip sport bought new outfit,0,0,0,0
rain please come,0,-1,1,0
pleasure,0,1,1,1
st presentation senior board fml,-1,1,0,-1
lol know funny ahaha,1,-1,1,1
wide awake,-1,1,-1,0
thought thing couldnt get bad get even bad tonight bet life,-1,1,1,-1
dont app,0,-1,0,0
lol hi would help study test get grad school thats wan na take,1,-1,1,0
tonight minute,0,1,0,0
think cute every night okay,1,0,1,1
let today last day rip jackson tyler always love never forgotten,1,1,1,1
hi,0,-1,0,0
im home cat right,0,-1,0,0
wheres music inbox still empty,-1,-1,-1,-1
atm oh yeah apple juice im,-1,-1,1,0
im sorry still sick u know know u guess present,-1,1,-1,-1
nice one,1,1,1,1
exam today go get license renew birthday get closer,0,1,0,0
